"","REF_DATE","GEO","Violations","Statistics","VALUE","UOM"
"51",1998,"Newfoundland and Labrador","Total possession of stolen property","Percentage contribution to the Crime Severity Index (CSI)",0.64,"Percent"
"52",1998,"Newfoundland and Labrador","Total trafficking in stolen property","Actual incidents",0,"Number"
"53",1998,"Newfoundland and Labrador","Total trafficking in stolen property","Rate per 100,000 population",0,"Rate"
"54",1998,"Newfoundland and Labrador","Total trafficking in stolen property","Percentage contribution to the Crime Severity Index (CSI)",0,"Percent"
"55",1998,"Newfoundland and Labrador","Total theft of motor vehicle","Actual incidents",644,"Number"
"56",1998,"Newfoundland and Labrador","Total theft of motor vehicle","Rate per 100,000 population",119.27,"Rate"
"57",1998,"Newfoundland and Labrador","Total theft of motor vehicle","Percentage contribution to the Crime Severity Index (CSI)",2.37,"Percent"
"58",1998,"Newfoundland and Labrador","Total theft over $5,000 (non-motor vehicle)","Actual incidents",225,"Number"
"59",1998,"Newfoundland and Labrador","Total theft over $5,000 (non-motor vehicle)","Rate per 100,000 population",41.67,"Rate"
"60",1998,"Newfoundland and Labrador","Total theft over $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",1.37,"Percent"
"61",1998,"Newfoundland and Labrador","Total theft under $5,000 (non-motor vehicle)","Actual incidents",7338,"Number"
"62",1998,"Newfoundland and Labrador","Total theft under $5,000 (non-motor vehicle)","Rate per 100,000 population",1359.06,"Rate"
"63",1998,"Newfoundland and Labrador","Total theft under $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",11.95,"Percent"
"64",1998,"Newfoundland and Labrador","Total mischief","Actual incidents",4723,"Number"
"65",1998,"Newfoundland and Labrador","Total mischief","Rate per 100,000 population",874.74,"Rate"
"66",1998,"Newfoundland and Labrador","Total mischief","Percentage contribution to the Crime Severity Index (CSI)",6.11,"Percent"
"67",1998,"Newfoundland and Labrador","Total other Criminal Code violations","Actual incidents",5441,"Number"
"68",1998,"Newfoundland and Labrador","Total other Criminal Code violations","Rate per 100,000 population",1007.72,"Rate"
"69",1998,"Newfoundland and Labrador","Total other Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",8,"Percent"
"70",1998,"Newfoundland and Labrador","Total weapons violations","Actual incidents",118,"Number"
"71",1998,"Newfoundland and Labrador","Total weapons violations","Rate per 100,000 population",21.85,"Rate"
"72",1998,"Newfoundland and Labrador","Total weapons violations","Percentage contribution to the Crime Severity Index (CSI)",0.34,"Percent"
"73",1998,"Newfoundland and Labrador","Total prostitution","Actual incidents",4,"Number"
"74",1998,"Newfoundland and Labrador","Total prostitution","Rate per 100,000 population",0.74,"Rate"
"75",1998,"Newfoundland and Labrador","Total prostitution","Percentage contribution to the Crime Severity Index (CSI)",0.01,"Percent"
"76",1998,"Newfoundland and Labrador","Total administration of justice violations","Actual incidents",2818,"Number"
"77",1998,"Newfoundland and Labrador","Total administration of justice violations","Rate per 100,000 population",521.92,"Rate"
"78",1998,"Newfoundland and Labrador","Total administration of justice violations","Percentage contribution to the Crime Severity Index (CSI)",3.95,"Percent"
"79",1998,"Newfoundland and Labrador","Total other violations","Actual incidents",1093,"Number"
"80",1998,"Newfoundland and Labrador","Total other violations","Rate per 100,000 population",202.43,"Rate"
"81",1998,"Newfoundland and Labrador","Total other violations","Percentage contribution to the Crime Severity Index (CSI)",3.15,"Percent"
"82",1998,"Newfoundland and Labrador","Total Criminal Code traffic violations","Actual incidents",1641,"Number"
"83",1998,"Newfoundland and Labrador","Total Criminal Code traffic violations","Rate per 100,000 population",303.93,"Rate"
"84",1998,"Newfoundland and Labrador","Total Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",1.9,"Percent"
"85",1998,"Newfoundland and Labrador","Total impaired driving","Actual incidents",1374,"Number"
"86",1998,"Newfoundland and Labrador","Total impaired driving","Rate per 100,000 population",254.48,"Rate"
"87",1998,"Newfoundland and Labrador","Total impaired driving","Percentage contribution to the Crime Severity Index (CSI)",1.11,"Percent"
"88",1998,"Newfoundland and Labrador","Total other Criminal Code traffic violations","Actual incidents",267,"Number"
"89",1998,"Newfoundland and Labrador","Total other Criminal Code traffic violations","Rate per 100,000 population",49.45,"Rate"
"90",1998,"Newfoundland and Labrador","Total other Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",0.79,"Percent"
"91",1998,"Newfoundland and Labrador","Total fail to stop or remain","Actual incidents",100,"Number"
"92",1998,"Newfoundland and Labrador","Total fail to stop or remain","Rate per 100,000 population",18.52,"Rate"
"93",1998,"Newfoundland and Labrador","Total fail to stop or remain","Percentage contribution to the Crime Severity Index (CSI)",0.27,"Percent"
"94",1998,"Newfoundland and Labrador","Total Federal Statute violations","Actual incidents",1478,"Number"
"95",1998,"Newfoundland and Labrador","Total Federal Statute violations","Rate per 100,000 population",273.74,"Rate"
"96",1998,"Newfoundland and Labrador","Total Federal Statute violations","Percentage contribution to the Crime Severity Index (CSI)",1.34,"Percent"
"97",1998,"Newfoundland and Labrador","Total drug violations","Actual incidents",823,"Number"
"98",1998,"Newfoundland and Labrador","Total drug violations","Rate per 100,000 population",152.43,"Rate"
"99",1998,"Newfoundland and Labrador","Total drug violations","Percentage contribution to the Crime Severity Index (CSI)",0.79,"Percent"
"100",1998,"Newfoundland and Labrador","Total, possession, other Controlled Drugs and Substances Act drugs","Actual incidents",52,"Number"
"101",1998,"Newfoundland and Labrador","Total, possession, other Controlled Drugs and Substances Act drugs","Rate per 100,000 population",9.63,"Rate"
"102",1998,"Newfoundland and Labrador","Total, possession, other Controlled Drugs and Substances Act drugs","Percentage contribution to the Crime Severity Index (CSI)",0.02,"Percent"
"103",1998,"Newfoundland and Labrador","Total cannabis, trafficking, production or distribution (pre-legalization)","Actual incidents",195,"Number"
"104",1998,"Newfoundland and Labrador","Total cannabis, trafficking, production or distribution (pre-legalization)","Rate per 100,000 population",36.12,"Rate"
"105",1998,"Newfoundland and Labrador","Total cannabis, trafficking, production or distribution (pre-legalization)","Percentage contribution to the Crime Severity Index (CSI)",0.41,"Percent"
"106",1998,"Newfoundland and Labrador","Total cocaine, trafficking, production or distribution","Actual incidents",12,"Number"
"107",1998,"Newfoundland and Labrador","Total cocaine, trafficking, production or distribution","Rate per 100,000 population",2.22,"Rate"
"108",1998,"Newfoundland and Labrador","Total cocaine, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",0.07,"Percent"
"109",1998,"Newfoundland and Labrador","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Actual incidents",23,"Number"
"110",1998,"Newfoundland and Labrador","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Rate per 100,000 population",4.26,"Rate"
"111",1998,"Newfoundland and Labrador","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",0.13,"Percent"
"112",1998,"Newfoundland and Labrador","Total Cannabis Act","Actual incidents",NA,"Number"
"113",1998,"Newfoundland and Labrador","Total Cannabis Act","Rate per 100,000 population",NA,"Rate"
"114",1998,"Newfoundland and Labrador","Total Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"115",1998,"Newfoundland and Labrador","Total possession - Cannabis Act","Actual incidents",NA,"Number"
"116",1998,"Newfoundland and Labrador","Total possession - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"117",1998,"Newfoundland and Labrador","Total possession - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"118",1998,"Newfoundland and Labrador","Total distribution - Cannabis Act","Actual incidents",NA,"Number"
"119",1998,"Newfoundland and Labrador","Total distribution - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"120",1998,"Newfoundland and Labrador","Total distribution - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"121",1998,"Newfoundland and Labrador","Total sale - Cannabis Act","Actual incidents",NA,"Number"
"122",1998,"Newfoundland and Labrador","Total sale - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"123",1998,"Newfoundland and Labrador","Total sale - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"124",1998,"Newfoundland and Labrador","Total importation and exportation - Cannabis Act","Actual incidents",NA,"Number"
"125",1998,"Newfoundland and Labrador","Total importation and exportation - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"126",1998,"Newfoundland and Labrador","Total importation and exportation - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"127",1998,"Newfoundland and Labrador","Total production - Cannabis Act","Actual incidents",NA,"Number"
"128",1998,"Newfoundland and Labrador","Total production - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"129",1998,"Newfoundland and Labrador","Total production - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"130",1998,"Newfoundland and Labrador","Total other Federal Statutes","Actual incidents",271,"Number"
"131",1998,"Newfoundland and Labrador","Total other Federal Statutes","Rate per 100,000 population",50.19,"Rate"
"132",1998,"Newfoundland and Labrador","Total other Federal Statutes","Percentage contribution to the Crime Severity Index (CSI)",0.15,"Percent"
"133",1998,"Newfoundland and Labrador","Total Immigration and Refugee Protection Act","Actual incidents",1,"Number"
"134",1998,"Newfoundland and Labrador","Total Immigration and Refugee Protection Act","Rate per 100,000 population",0.19,"Rate"
"135",1998,"Newfoundland and Labrador","Total Immigration and Refugee Protection Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"136",1998,"Prince Edward Island","Total, all violations","Actual incidents",9657,"Number"
"137",1998,"Prince Edward Island","Total, all violations","Rate per 100,000 population",7110.2,"Rate"
"138",1998,"Prince Edward Island","Total, all violations","Percentage contribution to the Crime Severity Index (CSI)",100,"Percent"
"139",1998,"Prince Edward Island","Total, all Criminal Code violations (including traffic)","Actual incidents",9249,"Number"
"140",1998,"Prince Edward Island","Total, all Criminal Code violations (including traffic)","Rate per 100,000 population",6809.8,"Rate"
"141",1998,"Prince Edward Island","Total, all Criminal Code violations (including traffic)","Percentage contribution to the Crime Severity Index (CSI)",98.29,"Percent"
"142",1998,"Prince Edward Island","Total, all Criminal Code violations (excluding traffic)","Actual incidents",8635,"Number"
"143",1998,"Prince Edward Island","Total, all Criminal Code violations (excluding traffic)","Rate per 100,000 population",6357.73,"Rate"
"144",1998,"Prince Edward Island","Total, all Criminal Code violations (excluding traffic)","Percentage contribution to the Crime Severity Index (CSI)",95.38,"Percent"
"145",1998,"Prince Edward Island","Total violent Criminal Code violations","Actual incidents",1713,"Number"
"146",1998,"Prince Edward Island","Total violent Criminal Code violations","Rate per 100,000 population",1261.24,"Rate"
"147",1998,"Prince Edward Island","Total violent Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",21.9,"Percent"
"148",1998,"Prince Edward Island","Total other violations causing death","Actual incidents",0,"Number"
"149",1998,"Prince Edward Island","Total other violations causing death","Rate per 100,000 population",0,"Rate"
"150",1998,"Prince Edward Island","Total other violations causing death","Percentage contribution to the Crime Severity Index (CSI)",0,"Percent"
"151",1998,"Prince Edward Island","Total sexual violations against children","Actual incidents",0,"Number"
"152",1998,"Prince Edward Island","Total sexual violations against children","Rate per 100,000 population",0,"Rate"
"153",1998,"Prince Edward Island","Total sexual violations against children","Percentage contribution to the Crime Severity Index (CSI)",0,"Percent"
"154",1998,"Prince Edward Island","Total assaults against a peace officer","Actual incidents",17,"Number"
"155",1998,"Prince Edward Island","Total assaults against a peace officer","Rate per 100,000 population",12.52,"Rate"
"156",1998,"Prince Edward Island","Total assaults against a peace officer","Percentage contribution to the Crime Severity Index (CSI)",0.13,"Percent"
"157",1998,"Prince Edward Island","Total other assaults","Actual incidents",25,"Number"
"158",1998,"Prince Edward Island","Total other assaults","Rate per 100,000 population",18.41,"Rate"
"159",1998,"Prince Edward Island","Total other assaults","Percentage contribution to the Crime Severity Index (CSI)",0.62,"Percent"
"160",1998,"Prince Edward Island","Total firearms, use of, discharge, pointing","Actual incidents",8,"Number"
"161",1998,"Prince Edward Island","Total firearms, use of, discharge, pointing","Rate per 100,000 population",5.89,"Rate"
"162",1998,"Prince Edward Island","Total firearms, use of, discharge, pointing","Percentage contribution to the Crime Severity Index (CSI)",0.72,"Percent"
"163",1998,"Prince Edward Island","Total robbery","Actual incidents",25,"Number"
"164",1998,"Prince Edward Island","Total robbery","Rate per 100,000 population",18.41,"Rate"
"165",1998,"Prince Edward Island","Total robbery","Percentage contribution to the Crime Severity Index (CSI)",2.63,"Percent"
"166",1998,"Prince Edward Island","Total forcible confinement or kidnapping","Actual incidents",1,"Number"
"167",1998,"Prince Edward Island","Total forcible confinement or kidnapping","Rate per 100,000 population",0.74,"Rate"
"168",1998,"Prince Edward Island","Total forcible confinement or kidnapping","Percentage contribution to the Crime Severity Index (CSI)",0.09,"Percent"
"169",1998,"Prince Edward Island","Total abduction","Actual incidents",3,"Number"
"170",1998,"Prince Edward Island","Total abduction","Rate per 100,000 population",2.21,"Rate"
"171",1998,"Prince Edward Island","Total abduction","Percentage contribution to the Crime Severity Index (CSI)",0.06,"Percent"
"172",1998,"Prince Edward Island","Total offences in relation to sexual services","Actual incidents",NA,"Number"
"173",1998,"Prince Edward Island","Total offences in relation to sexual services","Rate per 100,000 population",NA,"Rate"
"174",1998,"Prince Edward Island","Total offences in relation to sexual services","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"175",1998,"Prince Edward Island","Total other violent violations","Actual incidents",18,"Number"
"176",1998,"Prince Edward Island","Total other violent violations","Rate per 100,000 population",13.25,"Rate"
"177",1998,"Prince Edward Island","Total other violent violations","Percentage contribution to the Crime Severity Index (CSI)",0.85,"Percent"
"178",1998,"Prince Edward Island","Total property crime violations","Actual incidents",5191,"Number"
"179",1998,"Prince Edward Island","Total property crime violations","Rate per 100,000 population",3822,"Rate"
"180",1998,"Prince Edward Island","Total property crime violations","Percentage contribution to the Crime Severity Index (CSI)",62.01,"Percent"
"181",1998,"Prince Edward Island","Total breaking and entering","Actual incidents",700,"Number"
"182",1998,"Prince Edward Island","Total breaking and entering","Rate per 100,000 population",515.39,"Rate"
"183",1998,"Prince Edward Island","Total breaking and entering","Percentage contribution to the Crime Severity Index (CSI)",23.61,"Percent"
"184",1998,"Prince Edward Island","Total possession of stolen property","Actual incidents",50,"Number"
"185",1998,"Prince Edward Island","Total possession of stolen property","Rate per 100,000 population",36.81,"Rate"
"186",1998,"Prince Edward Island","Total possession of stolen property","Percentage contribution to the Crime Severity Index (CSI)",0.7,"Percent"
"187",1998,"Prince Edward Island","Total trafficking in stolen property","Actual incidents",0,"Number"
"188",1998,"Prince Edward Island","Total trafficking in stolen property","Rate per 100,000 population",0,"Rate"
"189",1998,"Prince Edward Island","Total trafficking in stolen property","Percentage contribution to the Crime Severity Index (CSI)",0,"Percent"
"190",1998,"Prince Edward Island","Total theft of motor vehicle","Actual incidents",181,"Number"
"191",1998,"Prince Edward Island","Total theft of motor vehicle","Rate per 100,000 population",133.27,"Rate"
"192",1998,"Prince Edward Island","Total theft of motor vehicle","Percentage contribution to the Crime Severity Index (CSI)",2.76,"Percent"
"193",1998,"Prince Edward Island","Total theft over $5,000 (non-motor vehicle)","Actual incidents",67,"Number"
"194",1998,"Prince Edward Island","Total theft over $5,000 (non-motor vehicle)","Rate per 100,000 population",49.33,"Rate"
"195",1998,"Prince Edward Island","Total theft over $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",1.69,"Percent"
"196",1998,"Prince Edward Island","Total theft under $5,000 (non-motor vehicle)","Actual incidents",2255,"Number"
"197",1998,"Prince Edward Island","Total theft under $5,000 (non-motor vehicle)","Rate per 100,000 population",1660.3,"Rate"
"198",1998,"Prince Edward Island","Total theft under $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",15.21,"Percent"
"199",1998,"Prince Edward Island","Total mischief","Actual incidents",1414,"Number"
"200",1998,"Prince Edward Island","Total mischief","Rate per 100,000 population",1041.09,"Rate"
"201",1998,"Prince Edward Island","Total mischief","Percentage contribution to the Crime Severity Index (CSI)",7.58,"Percent"
"202",1998,"Prince Edward Island","Total other Criminal Code violations","Actual incidents",1731,"Number"
"203",1998,"Prince Edward Island","Total other Criminal Code violations","Rate per 100,000 population",1274.49,"Rate"
"204",1998,"Prince Edward Island","Total other Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",11.47,"Percent"
"205",1998,"Prince Edward Island","Total weapons violations","Actual incidents",32,"Number"
"206",1998,"Prince Edward Island","Total weapons violations","Rate per 100,000 population",23.56,"Rate"
"207",1998,"Prince Edward Island","Total weapons violations","Percentage contribution to the Crime Severity Index (CSI)",0.57,"Percent"
"208",1998,"Prince Edward Island","Total prostitution","Actual incidents",1,"Number"
"209",1998,"Prince Edward Island","Total prostitution","Rate per 100,000 population",0.74,"Rate"
"210",1998,"Prince Edward Island","Total prostitution","Percentage contribution to the Crime Severity Index (CSI)",0.05,"Percent"
"211",1998,"Prince Edward Island","Total administration of justice violations","Actual incidents",602,"Number"
"212",1998,"Prince Edward Island","Total administration of justice violations","Rate per 100,000 population",443.24,"Rate"
"213",1998,"Prince Edward Island","Total administration of justice violations","Percentage contribution to the Crime Severity Index (CSI)",3.76,"Percent"
"214",1998,"Prince Edward Island","Total other violations","Actual incidents",421,"Number"
"215",1998,"Prince Edward Island","Total other violations","Rate per 100,000 population",309.97,"Rate"
"216",1998,"Prince Edward Island","Total other violations","Percentage contribution to the Crime Severity Index (CSI)",5.86,"Percent"
"217",1998,"Prince Edward Island","Total Criminal Code traffic violations","Actual incidents",614,"Number"
"218",1998,"Prince Edward Island","Total Criminal Code traffic violations","Rate per 100,000 population",452.07,"Rate"
"219",1998,"Prince Edward Island","Total Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",2.91,"Percent"
"220",1998,"Prince Edward Island","Total impaired driving","Actual incidents",500,"Number"
"221",1998,"Prince Edward Island","Total impaired driving","Rate per 100,000 population",368.14,"Rate"
"222",1998,"Prince Edward Island","Total impaired driving","Percentage contribution to the Crime Severity Index (CSI)",1.54,"Percent"
"223",1998,"Prince Edward Island","Total other Criminal Code traffic violations","Actual incidents",114,"Number"
"224",1998,"Prince Edward Island","Total other Criminal Code traffic violations","Rate per 100,000 population",83.94,"Rate"
"225",1998,"Prince Edward Island","Total other Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",1.37,"Percent"
"226",1998,"Prince Edward Island","Total fail to stop or remain","Actual incidents",17,"Number"
"227",1998,"Prince Edward Island","Total fail to stop or remain","Rate per 100,000 population",12.52,"Rate"
"228",1998,"Prince Edward Island","Total fail to stop or remain","Percentage contribution to the Crime Severity Index (CSI)",0.19,"Percent"
"229",1998,"Prince Edward Island","Total Federal Statute violations","Actual incidents",408,"Number"
"230",1998,"Prince Edward Island","Total Federal Statute violations","Rate per 100,000 population",300.4,"Rate"
"231",1998,"Prince Edward Island","Total Federal Statute violations","Percentage contribution to the Crime Severity Index (CSI)",1.71,"Percent"
"232",1998,"Prince Edward Island","Total drug violations","Actual incidents",251,"Number"
"233",1998,"Prince Edward Island","Total drug violations","Rate per 100,000 population",184.8,"Rate"
"234",1998,"Prince Edward Island","Total drug violations","Percentage contribution to the Crime Severity Index (CSI)",1.38,"Percent"
"235",1998,"Prince Edward Island","Total, possession, other Controlled Drugs and Substances Act drugs","Actual incidents",11,"Number"
"236",1998,"Prince Edward Island","Total, possession, other Controlled Drugs and Substances Act drugs","Rate per 100,000 population",8.1,"Rate"
"237",1998,"Prince Edward Island","Total, possession, other Controlled Drugs and Substances Act drugs","Percentage contribution to the Crime Severity Index (CSI)",0.02,"Percent"
"238",1998,"Prince Edward Island","Total cannabis, trafficking, production or distribution (pre-legalization)","Actual incidents",104,"Number"
"239",1998,"Prince Edward Island","Total cannabis, trafficking, production or distribution (pre-legalization)","Rate per 100,000 population",76.57,"Rate"
"240",1998,"Prince Edward Island","Total cannabis, trafficking, production or distribution (pre-legalization)","Percentage contribution to the Crime Severity Index (CSI)",0.84,"Percent"
"241",1998,"Prince Edward Island","Total cocaine, trafficking, production or distribution","Actual incidents",9,"Number"
"242",1998,"Prince Edward Island","Total cocaine, trafficking, production or distribution","Rate per 100,000 population",6.63,"Rate"
"243",1998,"Prince Edward Island","Total cocaine, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",0.22,"Percent"
"244",1998,"Prince Edward Island","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Actual incidents",6,"Number"
"245",1998,"Prince Edward Island","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Rate per 100,000 population",4.42,"Rate"
"246",1998,"Prince Edward Island","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",0.14,"Percent"
"247",1998,"Prince Edward Island","Total Cannabis Act","Actual incidents",NA,"Number"
"248",1998,"Prince Edward Island","Total Cannabis Act","Rate per 100,000 population",NA,"Rate"
"249",1998,"Prince Edward Island","Total Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"250",1998,"Prince Edward Island","Total possession - Cannabis Act","Actual incidents",NA,"Number"
"251",1998,"Prince Edward Island","Total possession - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"252",1998,"Prince Edward Island","Total possession - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"253",1998,"Prince Edward Island","Total distribution - Cannabis Act","Actual incidents",NA,"Number"
"254",1998,"Prince Edward Island","Total distribution - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"255",1998,"Prince Edward Island","Total distribution - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"256",1998,"Prince Edward Island","Total sale - Cannabis Act","Actual incidents",NA,"Number"
"257",1998,"Prince Edward Island","Total sale - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"258",1998,"Prince Edward Island","Total sale - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"259",1998,"Prince Edward Island","Total importation and exportation - Cannabis Act","Actual incidents",NA,"Number"
"260",1998,"Prince Edward Island","Total importation and exportation - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"261",1998,"Prince Edward Island","Total importation and exportation - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"262",1998,"Prince Edward Island","Total production - Cannabis Act","Actual incidents",NA,"Number"
