"","REF_DATE","GEO","Income source","Statistics","UOM","SCALAR_FACTOR","VALUE"
"88",1998,"British Columbia","Employment Insurance (EI) benefits","Median income (excluding zeros)","2021 constant dollars","units",5648.88888888889
"89",1998,"British Columbia","Employment Insurance (EI) benefits","Number of persons","Number","thousands",667.25
"90",1998,"British Columbia","Employment Insurance (EI) benefits","Number with income","Number","thousands",95.1031746031746
"91",1998,"British Columbia","Employment income","Aggregate income","2021 constant dollars","millions",21251.5833333333
"92",1998,"British Columbia","Employment income","Average income (excluding zeros)","2021 constant dollars","units",39229.1666666667
"93",1998,"British Columbia","Employment income","Median income (excluding zeros)","2021 constant dollars","units",36723.8095238095
"94",1998,"British Columbia","Employment income","Number of persons","Number","thousands",667.25
"95",1998,"British Columbia","Employment income","Number with income","Number","thousands",476.458333333333
"96",1998,"British Columbia","Government transfers","Aggregate income","2021 constant dollars","millions",3228.41666666667
"97",1998,"British Columbia","Government transfers","Average income (excluding zeros)","2021 constant dollars","units",7275
"98",1998,"British Columbia","Government transfers","Median income (excluding zeros)","2021 constant dollars","units",5481.66666666667
"99",1998,"British Columbia","Government transfers","Number of persons","Number","thousands",667.25
"100",1998,"British Columbia","Government transfers","Number with income","Number","thousands",427.166666666667
"101",1998,"British Columbia","Investment income","Aggregate income","2021 constant dollars","millions",1385.63888888889
"102",1998,"British Columbia","Investment income","Average income (excluding zeros)","2021 constant dollars","units",4636.11111111111
"103",1998,"British Columbia","Investment income","Median income (excluding zeros)","2021 constant dollars","units",1073.33333333333
"104",1998,"British Columbia","Investment income","Number of persons","Number","thousands",667.25
"105",1998,"British Columbia","Investment income","Number with income","Number","thousands",228.333333333333
"106",1998,"British Columbia","Market income","Aggregate income","2021 constant dollars","millions",23982.8333333333
"107",1998,"British Columbia","Market income","Average income (excluding zeros)","2021 constant dollars","units",39116.6666666667
"108",1998,"British Columbia","Market income","Median income (excluding zeros)","2021 constant dollars","units",32050
"109",1998,"British Columbia","Market income","Number of persons","Number","thousands",667.25
"110",1998,"British Columbia","Market income","Number with income","Number","thousands",575.166666666667
"111",1998,"British Columbia","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Aggregate income","2021 constant dollars","millions",2738
"112",1998,"British Columbia","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Average income (excluding zeros)","2021 constant dollars","units",8750
"113",1998,"British Columbia","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Median income (excluding zeros)","2021 constant dollars","units",7600
"114",1998,"British Columbia","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Number of persons","Number","thousands",667.25
"115",1998,"British Columbia","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Number with income","Number","thousands",312.333333333333
"116",1998,"British Columbia","Other government transfers","Aggregate income","2021 constant dollars","millions",328.619047619048
"117",1998,"British Columbia","Other government transfers","Average income (excluding zeros)","2021 constant dollars","units",1004.7619047619
"118",1998,"British Columbia","Other government transfers","Median income (excluding zeros)","2021 constant dollars","units",491.666666666667
"119",1998,"British Columbia","Other government transfers","Number of persons","Number","thousands",667.25
"120",1998,"British Columbia","Other government transfers","Number with income","Number","thousands",286.041666666667
"121",1998,"British Columbia","Other income","Aggregate income","2021 constant dollars","millions",549.027777777778
"122",1998,"British Columbia","Other income","Average income (excluding zeros)","2021 constant dollars","units",4587.2619047619
"123",1998,"British Columbia","Other income","Median income (excluding zeros)","2021 constant dollars","units",1708.88888888889
"124",1998,"British Columbia","Other income","Number of persons","Number","thousands",667.25
"125",1998,"British Columbia","Other income","Number with income","Number","thousands",98.25
"126",1998,"British Columbia","Retirement income","Aggregate income","2021 constant dollars","millions",3045.33333333333
"127",1998,"British Columbia","Retirement income","Average income (excluding zeros)","2021 constant dollars","units",20205.5555555556
"128",1998,"British Columbia","Retirement income","Median income (excluding zeros)","2021 constant dollars","units",16127.7777777778
"129",1998,"British Columbia","Retirement income","Number of persons","Number","thousands",667.25
"130",1998,"British Columbia","Retirement income","Number with income","Number","thousands",139.111111111111
"131",1998,"British Columbia","Self-employment income","Aggregate income","2021 constant dollars","millions",2707.13333333333
"132",1998,"British Columbia","Self-employment income","Average income (excluding zeros)","2021 constant dollars","units",18293.3333333333
"133",1998,"British Columbia","Self-employment income","Median income (excluding zeros)","2021 constant dollars","units",11421.1111111111
"134",1998,"British Columbia","Self-employment income","Number of persons","Number","thousands",667.25
"135",1998,"British Columbia","Self-employment income","Number with income","Number","thousands",103.84126984127
"136",1998,"British Columbia","Social assistance","Aggregate income","2021 constant dollars","millions",614.444444444444
"137",1998,"British Columbia","Social assistance","Average income (excluding zeros)","2021 constant dollars","units",8266.66666666667
"138",1998,"British Columbia","Social assistance","Median income (excluding zeros)","2021 constant dollars","units",8644.44444444445
"139",1998,"British Columbia","Social assistance","Number of persons","Number","thousands",667.25
"140",1998,"British Columbia","Social assistance","Number with income","Number","thousands",66.375
"141",1998,"British Columbia","Total income","Aggregate income","2021 constant dollars","millions",27211.1666666667
"142",1998,"British Columbia","Total income","Average income (excluding zeros)","2021 constant dollars","units",40441.6666666667
"143",1998,"British Columbia","Total income","Median income (excluding zeros)","2021 constant dollars","units",33012.5
"144",1998,"British Columbia","Total income","Number of persons","Number","thousands",667.25
"145",1998,"British Columbia","Total income","Number with income","Number","thousands",646.75
"146",1998,"British Columbia","Wages, salaries and commissions","Aggregate income","2021 constant dollars","millions",20813.4821428571
"147",1998,"British Columbia","Wages, salaries and commissions","Average income (excluding zeros)","2021 constant dollars","units",42203.5714285714
"148",1998,"British Columbia","Wages, salaries and commissions","Median income (excluding zeros)","2021 constant dollars","units",40500
"149",1998,"British Columbia","Wages, salaries and commissions","Number of persons","Number","thousands",667.25
"150",1998,"British Columbia","Wages, salaries and commissions","Number with income","Number","thousands",421.125
"151",1998,"Manitoba","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Aggregate income","2021 constant dollars","millions",403.405555555556
"152",1998,"Manitoba","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Average income (excluding zeros)","2021 constant dollars","units",7522.77777777778
"153",1998,"Manitoba","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Median income (excluding zeros)","2021 constant dollars","units",7571.66666666667
"154",1998,"Manitoba","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Number of persons","Number","thousands",177.291666666667
"155",1998,"Manitoba","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Number with income","Number","thousands",53.2555555555556
"156",1998,"Manitoba","Child benefits","Aggregate income","2021 constant dollars","millions",110.555555555556
"157",1998,"Manitoba","Child benefits","Average income (excluding zeros)","2021 constant dollars","units",2605.55555555556
"158",1998,"Manitoba","Child benefits","Median income (excluding zeros)","2021 constant dollars","units",2161.11111111111
"159",1998,"Manitoba","Child benefits","Number of persons","Number","thousands",177.291666666667
"160",1998,"Manitoba","Child benefits","Number with income","Number","thousands",41.5
"161",1998,"Manitoba","Employment Insurance (EI) benefits","Aggregate income","2021 constant dollars","millions",113.663492063492
"162",1998,"Manitoba","Employment Insurance (EI) benefits","Average income (excluding zeros)","2021 constant dollars","units",5496.8253968254
"163",1998,"Manitoba","Employment Insurance (EI) benefits","Median income (excluding zeros)","2021 constant dollars","units",4390
"164",1998,"Manitoba","Employment Insurance (EI) benefits","Number of persons","Number","thousands",177.291666666667
"165",1998,"Manitoba","Employment Insurance (EI) benefits","Number with income","Number","thousands",19.4285714285714
"166",1998,"Manitoba","Employment income","Aggregate income","2021 constant dollars","millions",6043.94642857143
"167",1998,"Manitoba","Employment income","Average income (excluding zeros)","2021 constant dollars","units",37295.2380952381
"168",1998,"Manitoba","Employment income","Median income (excluding zeros)","2021 constant dollars","units",33176.1904761905
"169",1998,"Manitoba","Employment income","Number of persons","Number","thousands",177.291666666667
"170",1998,"Manitoba","Employment income","Number with income","Number","thousands",134.333333333333
"171",1998,"Manitoba","Government transfers","Aggregate income","2021 constant dollars","millions",804.125
"172",1998,"Manitoba","Government transfers","Average income (excluding zeros)","2021 constant dollars","units",6050
"173",1998,"Manitoba","Government transfers","Median income (excluding zeros)","2021 constant dollars","units",4120.83333333333
"174",1998,"Manitoba","Government transfers","Number of persons","Number","thousands",177.291666666667
"175",1998,"Manitoba","Government transfers","Number with income","Number","thousands",125.75
"176",1998,"Manitoba","Investment income","Aggregate income","2021 constant dollars","millions",263.8
"177",1998,"Manitoba","Investment income","Average income (excluding zeros)","2021 constant dollars","units",3177.77777777778
"178",1998,"Manitoba","Investment income","Median income (excluding zeros)","2021 constant dollars","units",609.52380952381
"179",1998,"Manitoba","Investment income","Number of persons","Number","thousands",177.291666666667
"180",1998,"Manitoba","Investment income","Number with income","Number","thousands",64.7083333333333
"181",1998,"Manitoba","Market income","Aggregate income","2021 constant dollars","millions",6060.54166666667
"182",1998,"Manitoba","Market income","Average income (excluding zeros)","2021 constant dollars","units",36320.8333333333
"183",1998,"Manitoba","Market income","Median income (excluding zeros)","2021 constant dollars","units",29666.6666666667
"184",1998,"Manitoba","Market income","Number of persons","Number","thousands",177.291666666667
"185",1998,"Manitoba","Market income","Number with income","Number","thousands",157.375
"186",1998,"Manitoba","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Aggregate income","2021 constant dollars","millions",708
"187",1998,"Manitoba","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Average income (excluding zeros)","2021 constant dollars","units",8638.88888888889
"188",1998,"Manitoba","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Median income (excluding zeros)","2021 constant dollars","units",7244.44444444444
"189",1998,"Manitoba","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Number of persons","Number","thousands",177.291666666667
"190",1998,"Manitoba","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Number with income","Number","thousands",73.0555555555556
"191",1998,"Manitoba","Other government transfers","Aggregate income","2021 constant dollars","millions",98.2083333333333
"192",1998,"Manitoba","Other government transfers","Average income (excluding zeros)","2021 constant dollars","units",1027.38095238095
"193",1998,"Manitoba","Other government transfers","Median income (excluding zeros)","2021 constant dollars","units",620.833333333333
"194",1998,"Manitoba","Other government transfers","Number of persons","Number","thousands",177.291666666667
"195",1998,"Manitoba","Other government transfers","Number with income","Number","thousands",93.5416666666667
"196",1998,"Manitoba","Other income","Aggregate income","2021 constant dollars","millions",139.838888888889
"197",1998,"Manitoba","Other income","Average income (excluding zeros)","2021 constant dollars","units",4168.05555555556
"198",1998,"Manitoba","Other income","Median income (excluding zeros)","2021 constant dollars","units",916.666666666667
"199",1998,"Manitoba","Other income","Number of persons","Number","thousands",177.291666666667
"200",1998,"Manitoba","Other income","Number with income","Number","thousands",26.2083333333333
"201",1998,"Manitoba","Retirement income","Aggregate income","2021 constant dollars","millions",754.777777777778
"202",1998,"Manitoba","Retirement income","Average income (excluding zeros)","2021 constant dollars","units",18811.1111111111
"203",1998,"Manitoba","Retirement income","Median income (excluding zeros)","2021 constant dollars","units",14122.2222222222
"204",1998,"Manitoba","Retirement income","Number of persons","Number","thousands",177.291666666667
"205",1998,"Manitoba","Retirement income","Number with income","Number","thousands",42.4444444444444
"206",1998,"Manitoba","Self-employment income","Aggregate income","2021 constant dollars","millions",579.65
"207",1998,"Manitoba","Self-employment income","Average income (excluding zeros)","2021 constant dollars","units",16627.7777777778
"208",1998,"Manitoba","Self-employment income","Median income (excluding zeros)","2021 constant dollars","units",9366.66666666667
"209",1998,"Manitoba","Self-employment income","Number of persons","Number","thousands",177.291666666667
"210",1998,"Manitoba","Self-employment income","Number with income","Number","thousands",26.5
"211",1998,"Manitoba","Social assistance","Aggregate income","2021 constant dollars","millions",121.444444444444
"212",1998,"Manitoba","Social assistance","Average income (excluding zeros)","2021 constant dollars","units",6988.88888888889
"213",1998,"Manitoba","Social assistance","Median income (excluding zeros)","2021 constant dollars","units",6080.55555555556
"214",1998,"Manitoba","Social assistance","Number of persons","Number","thousands",177.291666666667
"215",1998,"Manitoba","Social assistance","Number with income","Number","thousands",17.4722222222222
"216",1998,"Manitoba","Total income","Aggregate income","2021 constant dollars","millions",6864.70833333333
"217",1998,"Manitoba","Total income","Average income (excluding zeros)","2021 constant dollars","units",38208.3333333333
"218",1998,"Manitoba","Total income","Median income (excluding zeros)","2021 constant dollars","units",32129.1666666667
"219",1998,"Manitoba","Total income","Number of persons","Number","thousands",177.291666666667
"220",1998,"Manitoba","Total income","Number with income","Number","thousands",173.375
"221",1998,"Manitoba","Wages, salaries and commissions","Aggregate income","2021 constant dollars","millions",5719.66666666667
"222",1998,"Manitoba","Wages, salaries and commissions","Average income (excluding zeros)","2021 constant dollars","units",40914.2857142857
"223",1998,"Manitoba","Wages, salaries and commissions","Median income (excluding zeros)","2021 constant dollars","units",35471.4285714286
"224",1998,"Manitoba","Wages, salaries and commissions","Number of persons","Number","thousands",177.291666666667
"225",1998,"Manitoba","Wages, salaries and commissions","Number with income","Number","thousands",128.017857142857
"226",1998,"New Brunswick","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Aggregate income","2021 constant dollars","millions",278.338888888889
"227",1998,"New Brunswick","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Average income (excluding zeros)","2021 constant dollars","units",8051.66666666667
"228",1998,"New Brunswick","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Median income (excluding zeros)","2021 constant dollars","units",7918.33333333333
"229",1998,"New Brunswick","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Number of persons","Number","thousands",125.458333333333
"230",1998,"New Brunswick","Canada Pension Plan (CPP) and Quebec Pension Plan (QPP) benefits","Number with income","Number","thousands",35.3277777777778
"231",1998,"New Brunswick","Child benefits","Aggregate income","2021 constant dollars","millions",110.083333333333
"232",1998,"New Brunswick","Child benefits","Average income (excluding zeros)","2021 constant dollars","units",2483.33333333333
"233",1998,"New Brunswick","Child benefits","Median income (excluding zeros)","2021 constant dollars","units",2116.66666666667
"234",1998,"New Brunswick","Child benefits","Number of persons","Number","thousands",125.458333333333
"235",1998,"New Brunswick","Child benefits","Number with income","Number","thousands",44.1666666666667
"236",1998,"New Brunswick","Employment Insurance (EI) benefits","Aggregate income","2021 constant dollars","millions",233.857142857143
"237",1998,"New Brunswick","Employment Insurance (EI) benefits","Average income (excluding zeros)","2021 constant dollars","units",7666.66666666667
"238",1998,"New Brunswick","Employment Insurance (EI) benefits","Median income (excluding zeros)","2021 constant dollars","units",6952.38095238095
"239",1998,"New Brunswick","Employment Insurance (EI) benefits","Number of persons","Number","thousands",125.458333333333
"240",1998,"New Brunswick","Employment Insurance (EI) benefits","Number with income","Number","thousands",29.6666666666667
"241",1998,"New Brunswick","Employment income","Aggregate income","2021 constant dollars","millions",3563.66666666667
"242",1998,"New Brunswick","Employment income","Average income (excluding zeros)","2021 constant dollars","units",34509.5238095238
"243",1998,"New Brunswick","Employment income","Median income (excluding zeros)","2021 constant dollars","units",28004.7619047619
"244",1998,"New Brunswick","Employment income","Number of persons","Number","thousands",125.458333333333
"245",1998,"New Brunswick","Employment income","Number with income","Number","thousands",89.4761904761905
"246",1998,"New Brunswick","Government transfers","Aggregate income","2021 constant dollars","millions",702.291666666667
"247",1998,"New Brunswick","Government transfers","Average income (excluding zeros)","2021 constant dollars","units",7875
"248",1998,"New Brunswick","Government transfers","Median income (excluding zeros)","2021 constant dollars","units",6616.66666666667
"249",1998,"New Brunswick","Government transfers","Number of persons","Number","thousands",125.458333333333
"250",1998,"New Brunswick","Government transfers","Number with income","Number","thousands",88.3333333333333
"251",1998,"New Brunswick","Investment income","Aggregate income","2021 constant dollars","millions",161.211111111111
"252",1998,"New Brunswick","Investment income","Average income (excluding zeros)","2021 constant dollars","units",4026.11111111111
"253",1998,"New Brunswick","Investment income","Median income (excluding zeros)","2021 constant dollars","units",392.460317460317
"254",1998,"New Brunswick","Investment income","Number of persons","Number","thousands",125.458333333333
"255",1998,"New Brunswick","Investment income","Number with income","Number","thousands",28.7083333333333
"256",1998,"New Brunswick","Market income","Aggregate income","2021 constant dollars","millions",3547.75
"257",1998,"New Brunswick","Market income","Average income (excluding zeros)","2021 constant dollars","units",32958.3333333333
"258",1998,"New Brunswick","Market income","Median income (excluding zeros)","2021 constant dollars","units",25779.1666666667
"259",1998,"New Brunswick","Market income","Number of persons","Number","thousands",125.458333333333
"260",1998,"New Brunswick","Market income","Number with income","Number","thousands",101.375
"261",1998,"New Brunswick","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Aggregate income","2021 constant dollars","millions",462.277777777778
"262",1998,"New Brunswick","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Average income (excluding zeros)","2021 constant dollars","units",8866.66666666667
"263",1998,"New Brunswick","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Median income (excluding zeros)","2021 constant dollars","units",7816.66666666667
"264",1998,"New Brunswick","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Number of persons","Number","thousands",125.458333333333
"265",1998,"New Brunswick","Old Age Security (OAS) and Guaranteed Income Supplement (GIS)","Number with income","Number","thousands",47.1666666666667
"266",1998,"New Brunswick","Other government transfers","Aggregate income","2021 constant dollars","millions",46.327380952381
"267",1998,"New Brunswick","Other government transfers","Average income (excluding zeros)","2021 constant dollars","units",858.928571428571
"268",1998,"New Brunswick","Other government transfers","Median income (excluding zeros)","2021 constant dollars","units",495.833333333333
"269",1998,"New Brunswick","Other government transfers","Number of persons","Number","thousands",125.458333333333
"270",1998,"New Brunswick","Other government transfers","Number with income","Number","thousands",53.7083333333333
"271",1998,"New Brunswick","Other income","Aggregate income","2021 constant dollars","millions",130.5
"272",1998,"New Brunswick","Other income","Average income (excluding zeros)","2021 constant dollars","units",6523.80952380952
"273",1998,"New Brunswick","Other income","Median income (excluding zeros)","2021 constant dollars","units",1950
"274",1998,"New Brunswick","Other income","Number of persons","Number","thousands",125.458333333333
"275",1998,"New Brunswick","Other income","Number with income","Number","thousands",14.3690476190476
"276",1998,"New Brunswick","Retirement income","Aggregate income","2021 constant dollars","millions",517
"277",1998,"New Brunswick","Retirement income","Average income (excluding zeros)","2021 constant dollars","units",21838.8888888889
"278",1998,"New Brunswick","Retirement income","Median income (excluding zeros)","2021 constant dollars","units",15316.6666666667
"279",1998,"New Brunswick","Retirement income","Number of persons","Number","thousands",125.458333333333
"280",1998,"New Brunswick","Retirement income","Number with income","Number","thousands",23.8333333333333
"281",1998,"New Brunswick","Self-employment income","Aggregate income","2021 constant dollars","millions",296.333333333333
"282",1998,"New Brunswick","Self-employment income","Average income (excluding zeros)","2021 constant dollars","units",16381.6666666667
"283",1998,"New Brunswick","Self-employment income","Median income (excluding zeros)","2021 constant dollars","units",11175
"284",1998,"New Brunswick","Self-employment income","Number of persons","Number","thousands",125.458333333333
"285",1998,"New Brunswick","Self-employment income","Number with income","Number","thousands",12.4761904761905
"286",1998,"New Brunswick","Social assistance","Aggregate income","2021 constant dollars","millions",120
"287",1998,"New Brunswick","Social assistance","Average income (excluding zeros)","2021 constant dollars","units",6879.72222222222
"288",1998,"New Brunswick","Social assistance","Median income (excluding zeros)","2021 constant dollars","units",6813.33333333333
"289",1998,"New Brunswick","Social assistance","Number of persons","Number","thousands",125.458333333333
"290",1998,"New Brunswick","Social assistance","Number with income","Number","thousands",21.6527777777778
"291",1998,"New Brunswick","Total income","Aggregate income","2021 constant dollars","millions",4250.125
